California December Average Temperature
Units: Degrees Fahrenheit
Missing: -99
Date,Value
199907,73.3
199908,72.6
199909,70.7
199910,63.7
199911,53.0
199912,45.3
200001,45.8
200002,47.2
200003,50.2
200004,57.8
200005,63.9
200006,72.2
200007,73.5
200008,75.0
200009,69.1
200010,58.4
200011,46.0
200012,46.5
200101,42.3
200102,43.1
200103,52.6
200104,52.0
200105,68.6
200106,71.4
200107,74.2
200108,76.0
200109,71.3
200110,63.6
200111,51.6
200112,42.8
200201,42.4
200202,48.2
200203,48.5
200204,56.0
200205,61.5
200206,71.2
200207,77.4
200208,74.4
200209,70.9
200210,59.4
200211,52.3
200212,44.0
200301,50.0
200302,45.7
200303,51.4
200304,50.0
200305,62.0
200306,71.2
200307,78.7
200308,75.0
200309,72.9
200310,65.4
200311,46.8
200312,44.0
200401,43.5
200402,44.2
200403,56.9
200404,57.3
200405,63.2
200406,70.4
200407,76.1
200408,74.8
200409,69.4
200410,58.2
200411,47.7
200412,44.6
200501,44.1
200502,47.1
200503,51.1
200504,53.0
200505,62.2
200506,66.2
200507,78.4
200508,75.8
200509,66.9
200510,59.9
200511,52.4
200512,46.1
200601,44.6
200602,47.7
200603,44.0
200604,53.0
200605,64.6
200606,73.2
200607,79.3
200608,73.8
200609,69.5
200610,58.8
200611,51.3
200612,43.9
200701,41.5
200702,46.7
200703,54.4
200704,56.3
200705,64.1
200706,70.5
200707,76.9
200708,76.1
200709,67.5
200710,58.6
200711,53.3
200712,41.2
200801,41.1
200802,45.8
200803,50.3
200804,54.4
200805,61.7
200806,71.1
200807,76.5
200808,76.6
200809,71.8
200810,61.8
200811,53.9
200812,42.0
200901,46.9
200902,45.2
200903,49.2
200904,54.3
200905,66.7
200906,67.5
200907,77.6
200908,74.8
200909,73.0
200910,58.1
200911,50.9
200912,41.8
201001,45.2
201002,46.8
201003,49.0
201004,50.9
201005,56.9
201006,69.1
201007,76.1
201008,73.4
201009,70.4
201010,60.5
201011,48.6
201012,45.8
201101,45.2
201102,43.4
201103,48.7
201104,53.4
201105,57.6
201106,66.9
201107,74.2
201108,75.2
201109,72.2
201110,61.4
201111,48.2
201112,42.8
201201,46.5
201202,46.5
201203,48.8
201204,55.8
201205,63.9
201206,69.3
201207,74.7
201208,77.8
201209,73.1
201210,62.2
201211,52.5
201212,43.0
201301,42.1
201302,45.3
201303,53.8
201304,58.2
201305,63.8
201306,72.4
201307,78.0
201308,74.4
201309,69.3
201310,58.5
201311,51.9
201312,44.1
201401,50.1
201402,49.8
201403,53.5
201404,57.7
201405,64.6
201406,71.9
201407,78.4
201408,74.9
201409,72.2
201410,64.4
201411,53.1
201412,46.8
201501,48.6
201502,53.2
201503,56.9
201504,56.7
201505,60.8
201506,74.4
201507,75.0
201508,76.5
201509,72.1
201510,65.0
201511,47.6
201512,42.3
201601,44.5
201602,51.8
201603,52.5
201604,57.9
201605,62.2
201606,73.5
201607,76.8
201608,76.2
201609,69.5
201610,60.5
201611,52.8
201612,43.4
201701,42.2
201702,47.3
201703,53.4
201704,55.6
201705,63.4
201706,72.8
201707,78.8
201708,77.9
201709,69.8
201710,62.0
201711,53.4
201712,47.5
201801,48.9
201802,46.6
201803,49.0
201804,57.2
201805,63.0
201806,71.4
201807,79.6
201808,76.4
201809,71.1
201810,60.9
201811,52.6
201812,44.8
201901,46.1
201902,40.6
201903,48.9
201904,58.2
201905,58.6
201906,71.1
201907,75.5
201908,76.8
201909,68.9
201910,58.8
201911,53.0
201912,44.4
202001,45.3
202002,49.2
202003,48.0
202004,56.6
202005,64.6
202006,70.4
202007,76.6
202008,78.9
202009,74.0
202010,66.2
202011,50.9
202012,45.5
202101,45.5
202102,47.4
202103,48.2
202104,58.2
202105,64.5
202106,74.9
202107,79.8
202108,77.0
202109,72.2
202110,58.2
202111,54.8
202112,43.5
202201,46.2
202202,47.4
202203,52.9
202204,55.9
202205,62.4
202206,72.0
202207,77.6
202208,78.4
202209,73.8
202210,63.7
202211,46.8
202212,43.5
202301,42.6
202302,42.8
202303,44.2
202304,55.4
202305,61.9
202306,66.9
202307,78.9
202308,75.8
202309,68.0
202310,62.1
202311,51.9
202312,48.0
202401,45.7
202402,46.4
202403,48.7
202404,55.3
202405,63.1
202406,74.1
202407,81.7
